Risk,Return
3.03,1.4804973603593514
3.04,1.482008675232051
3.05,1.4835202518619113
3.06,1.4850326149906572
3.07,1.4864713144725672
3.08,1.4878858156383374
3.09,1.4892995333190027
3.1,1.4907123262070965
3.11,1.4921247976450414
3.12,1.4935365687406945
3.13,1.4950402133732958
3.14,1.4966681822891406
3.15,1.4982558324716382
3.16,1.4998070791936107
3.17,1.501325423775402
3.18,1.5028134834749207
3.19,1.504273904793973
3.2,1.5057089230741982
3.21,1.5071206818322798
3.22,1.5085108764622996
3.23,1.5098809393951433
3.24,1.5112323690016805
3.25,1.512566376805753
3.26,1.513884188373202
3.27,1.5151869341025355
3.28,1.5164753392069832
3.29,1.5177507250536486
3.3,1.519013137674737
3.31,1.520263866727667
3.32,1.5215035122833989
3.33,1.522732480114617
